date_hq,demande_mw,occurrence,collecte_utc
2026-09-21T00:00:00,15420,1,2026-09-23T01:17:10Z
2026-09-21T00:15:00,15278,1,2026-09-23T01:17:10Z
2026-09-21T00:30:00,15222,1,2026-09-23T01:17:10Z
2026-09-21T00:45:00,14940,1,2026-09-23T01:17:10Z
2026-09-21T01:00:00,14922,1,2026-09-23T01:17:10Z
2026-09-21T01:15:00,15028,1,2026-09-23T01:17:10Z
2026-09-21T01:30:00,15086,1,2026-09-23T01:17:10Z
2026-09-21T01:45:00,14895,1,2026-09-23T01:17:10Z
2026-09-21T02:00:00,15001,1,2026-09-23T01:17:10Z
2026-09-21T02:15:00,14896,1,2026-09-23T01:17:10Z
2026-09-21T02:30:00,15063,1,2026-09-23T01:17:10Z
2026-09-21T02:45:00,14836,1,2026-09-23T01:17:10Z
2026-09-21T03:00:00,14897,1,2026-09-23T01:17:10Z
2026-09-21T03:15:00,14793,1,2026-09-23T01:17:10Z
2026-09-21T03:30:00,14811,1,2026-09-23T01:17:10Z
2026-09-21T03:45:00,14947,1,2026-09-23T01:17:10Z
2026-09-21T04:00:00,14970,1,2026-09-23T01:17:10Z
2026-09-21T04:15:00,15072,1,2026-09-23T01:17:10Z
2026-09-21T04:30:00,15026,1,2026-09-23T01:17:10Z
2026-09-21T04:45:00,15169,1,2026-09-23T01:17:10Z
2026-09-21T05:00:00,15369,1,2026-09-23T01:17:10Z
2026-09-21T05:15:00,15648,1,2026-09-23T01:17:10Z
2026-09-21T05:30:00,15890,1,2026-09-23T01:17:10Z
2026-09-21T05:45:00,15888,1,2026-09-23T01:17:10Z
2026-09-21T06:00:00,16374,1,2026-09-23T01:17:10Z
2026-09-21T06:15:00,17200,1,2026-09-23T01:17:10Z
2026-09-21T06:30:00,17640,1,2026-09-23T01:17:10Z
2026-09-21T06:45:00,17963,1,2026-09-23T01:17:10Z
2026-09-21T07:00:00,18266,1,2026-09-23T01:17:10Z
2026-09-21T07:15:00,18676,1,2026-09-23T01:17:10Z
2026-09-21T07:30:00,18648,1,2026-09-23T01:17:10Z
2026-09-21T07:45:00,18700,1,2026-09-23T01:17:10Z
2026-09-21T08:00:00,18855,1,2026-09-23T01:17:10Z
2026-09-21T08:15:00,18837,1,2026-09-23T01:17:10Z
2026-09-21T08:30:00,19125,1,2026-09-23T01:17:10Z
2026-09-21T08:45:00,19076,1,2026-09-23T01:17:10Z
2026-09-21T09:00:00,18748,1,2026-09-23T01:17:10Z
2026-09-21T09:15:00,18816,1,2026-09-23T01:17:10Z
2026-09-21T09:30:00,18651,1,2026-09-23T01:17:10Z
2026-09-21T09:45:00,18548,1,2026-09-23T01:17:10Z
2026-09-21T10:00:00,18709,1,2026-09-23T01:17:10Z
2026-09-21T10:15:00,18650,1,2026-09-23T01:17:10Z
2026-09-21T10:30:00,18857,1,2026-09-23T01:17:10Z
2026-09-21T10:45:00,18897,1,2026-09-23T01:17:10Z
2026-09-21T11:00:00,18923,1,2026-09-23T01:17:10Z
2026-09-21T11:15:00,18659,1,2026-09-23T01:17:10Z
2026-09-21T11:30:00,18771,1,2026-09-23T01:17:10Z
2026-09-21T11:45:00,18837,1,2026-09-23T01:17:10Z
2026-09-21T12:00:00,18693,1,2026-09-23T01:17:10Z
2026-09-21T12:15:00,18467,1,2026-09-23T01:17:10Z
2026-09-21T12:30:00,18465,1,2026-09-23T01:17:10Z
2026-09-21T12:45:00,18611,1,2026-09-23T01:17:10Z
2026-09-21T13:00:00,18681,1,2026-09-23T01:17:10Z
2026-09-21T13:15:00,18646,1,2026-09-23T01:17:10Z
2026-09-21T13:30:00,18571,1,2026-09-23T01:17:10Z
2026-09-21T13:45:00,18557,1,2026-09-23T01:17:10Z
2026-09-21T14:00:00,18292,1,2026-09-23T01:17:10Z
2026-09-21T14:15:00,18363,1,2026-09-23T01:17:10Z
2026-09-21T14:30:00,18329,1,2026-09-23T01:17:10Z
2026-09-21T14:45:00,18268,1,2026-09-23T01:17:10Z
2026-09-21T15:00:00,17931,1,2026-09-23T01:17:10Z
2026-09-21T15:15:00,18188,1,2026-09-23T01:17:10Z
2026-09-21T15:30:00,18279,1,2026-09-23T01:17:10Z
2026-09-21T15:45:00,18346,1,2026-09-23T01:17:10Z
2026-09-21T16:00:00,18375,1,2026-09-23T01:17:10Z
2026-09-21T16:15:00,18350,1,2026-09-23T01:17:10Z
2026-09-21T16:30:00,18698,1,2026-09-23T01:17:10Z
2026-09-21T16:45:00,18744,1,2026-09-23T01:17:10Z
2026-09-21T17:00:00,19064,1,2026-09-23T01:17:10Z
2026-09-21T17:15:00,19089,1,2026-09-23T01:17:10Z
2026-09-21T17:30:00,19446,1,2026-09-23T01:17:10Z
2026-09-21T17:45:00,19526,1,2026-09-23T01:17:10Z
2026-09-21T18:00:00,19761,1,2026-09-23T01:17:10Z
2026-09-21T18:15:00,19439,1,2026-09-23T01:17:10Z
2026-09-21T18:30:00,19616,1,2026-09-23T01:17:10Z
2026-09-21T18:45:00,19924,1,2026-09-23T01:17:10Z
2026-09-21T19:00:00,19920,1,2026-09-23T01:17:10Z
2026-09-21T19:15:00,19764,1,2026-09-23T01:17:10Z
2026-09-21T19:30:00,19655,1,2026-09-23T01:17:10Z
2026-09-21T19:45:00,19805,1,2026-09-23T01:17:10Z
2026-09-21T20:00:00,19698,1,2026-09-23T01:17:10Z
2026-09-21T20:15:00,19543,1,2026-09-23T01:17:10Z
2026-09-21T20:30:00,19290,1,2026-09-23T01:17:10Z
2026-09-21T20:45:00,18923,1,2026-09-23T01:17:10Z
2026-09-21T21:00:00,18693,1,2026-09-23T01:17:10Z
2026-09-21T21:15:00,18545,1,2026-09-23T01:17:10Z
2026-09-21T21:30:00,18216,1,2026-09-23T01:17:10Z
2026-09-21T21:45:00,17966,1,2026-09-23T01:17:10Z
2026-09-21T22:00:00,17694,1,2026-09-23T01:17:10Z
2026-09-21T22:15:00,17410,1,2026-09-23T01:17:10Z
2026-09-21T22:30:00,17340,1,2026-09-23T01:17:10Z
2026-09-21T22:45:00,16993,1,2026-09-23T01:17:10Z
2026-09-21T23:00:00,16879,1,2026-09-23T01:17:10Z
2026-09-21T23:15:00,16581,1,2026-09-23T01:17:10Z
2026-09-21T23:30:00,16248,1,2026-09-23T01:17:10Z
2026-09-21T23:45:00,16038,1,2026-09-23T01:17:10Z
2026-09-22T00:00:00,15831,1,2026-09-23T21:35:24Z
2026-09-22T00:15:00,15856,1,2026-09-23T21:35:24Z
2026-09-22T00:30:00,15834,1,2026-09-23T21:35:24Z
2026-09-22T00:45:00,15644,1,2026-09-23T21:35:24Z
2026-09-22T01:00:00,15642,1,2026-09-23T21:35:24Z
2026-09-22T01:15:00,15521,1,2026-09-23T21:35:24Z
2026-09-22T01:30:00,15477,1,2026-09-23T21:35:24Z
2026-09-22T01:45:00,15456,1,2026-09-23T21:35:24Z
2026-09-22T02:00:00,15388,1,2026-09-23T21:35:24Z
2026-09-22T02:15:00,15236,1,2026-09-23T21:35:24Z
2026-09-22T02:30:00,15263,1,2026-09-23T21:35:24Z
2026-09-22T02:45:00,15265,1,2026-09-23T21:35:24Z
2026-09-22T03:00:00,15035,1,2026-09-23T21:35:24Z
2026-09-22T03:15:00,15337,1,2026-09-23T21:35:24Z
2026-09-22T03:30:00,15420,1,2026-09-23T21:35:24Z
2026-09-22T03:45:00,15421,1,2026-09-23T21:35:24Z
2026-09-22T04:00:00,15256,1,2026-09-23T21:35:24Z
2026-09-22T04:15:00,15455,1,2026-09-23T21:35:24Z
2026-09-22T04:30:00,15638,1,2026-09-23T21:35:24Z
2026-09-22T04:45:00,15793,1,2026-09-23T21:35:24Z
2026-09-22T05:00:00,15761,1,2026-09-23T21:35:24Z
2026-09-22T05:15:00,16030,1,2026-09-23T21:35:24Z
2026-09-22T05:30:00,16228,1,2026-09-23T21:35:24Z
2026-09-22T05:45:00,16689,1,2026-09-23T21:35:24Z
2026-09-22T06:00:00,16901,1,2026-09-23T21:35:24Z
2026-09-22T06:15:00,17575,1,2026-09-23T21:35:24Z
2026-09-22T06:30:00,17959,1,2026-09-23T21:35:24Z
2026-09-22T06:45:00,18599,1,2026-09-23T21:35:24Z
2026-09-22T07:00:00,18791,1,2026-09-23T21:35:24Z
2026-09-22T07:15:00,19159,1,2026-09-23T21:35:24Z
2026-09-22T07:30:00,19120,1,2026-09-23T21:35:24Z
2026-09-22T07:45:00,19214,1,2026-09-23T21:35:24Z
2026-09-22T08:00:00,19215,1,2026-09-23T21:35:24Z
