date_hq,demande_mw,occurrence,collecte_utc
2019-01-01T01:00:00,23762.55,1,2026-09-23T00:58:20Z
2019-01-01T02:00:00,23830.23,1,2026-09-23T00:58:20Z
2019-01-01T03:00:00,23608.07,1,2026-09-23T00:58:20Z
2019-01-01T04:00:00,23562.48,1,2026-09-23T00:58:20Z
2019-01-01T05:00:00,23546.16,1,2026-09-23T00:58:20Z
2019-01-01T06:00:00,23752.9,1,2026-09-23T00:58:20Z
2019-01-01T07:00:00,24022.19,1,2026-09-23T00:58:20Z
2019-01-01T08:00:00,24190.08,1,2026-09-23T00:58:20Z
2019-01-01T09:00:00,24071.91,1,2026-09-23T00:58:20Z
2019-01-01T10:00:00,23821.15,1,2026-09-23T00:58:20Z
2019-01-01T11:00:00,23606.33,1,2026-09-23T00:58:20Z
2019-01-01T12:00:00,23826.04,1,2026-09-23T00:58:20Z
2019-01-01T13:00:00,23836.55,1,2026-09-23T00:58:20Z
2019-01-01T14:00:00,23627.42,1,2026-09-23T00:58:20Z
2019-01-01T15:00:00,23559.44,1,2026-09-23T00:58:20Z
2019-01-01T16:00:00,24375.12,1,2026-09-23T00:58:20Z
2019-01-01T17:00:00,26242.03,1,2026-09-23T00:58:20Z
2019-01-01T18:00:00,27199.8,1,2026-09-23T00:58:20Z
2019-01-01T19:00:00,27202.24,1,2026-09-23T00:58:20Z
2019-01-01T20:00:00,27152.23,1,2026-09-23T00:58:20Z
2019-01-01T21:00:00,27145.63,1,2026-09-23T00:58:20Z
2019-01-01T22:00:00,26974.32,1,2026-09-23T00:58:20Z
2019-01-01T23:00:00,26571.45,1,2026-09-23T00:58:20Z
2019-01-02T00:00:00,26317.6,1,2026-09-23T00:58:20Z
2019-01-02T01:00:00,26273.19,1,2026-09-23T00:58:20Z
2019-01-02T02:00:00,26520.44,1,2026-09-23T00:58:20Z
2019-01-02T03:00:00,26896.61,1,2026-09-23T00:58:20Z
2019-01-02T04:00:00,27304.54,1,2026-09-23T00:58:20Z
2019-01-02T05:00:00,28077.78,1,2026-09-23T00:58:20Z
2019-01-02T06:00:00,29021.66,1,2026-09-23T00:58:20Z
2019-01-02T07:00:00,30293.05,1,2026-09-23T00:58:20Z
2019-01-02T08:00:00,31194.53,1,2026-09-23T00:58:20Z
2019-01-02T09:00:00,31087.33,1,2026-09-23T00:58:20Z
2019-01-02T10:00:00,30354.21,1,2026-09-23T00:58:20Z
2019-01-02T11:00:00,29615.27,1,2026-09-23T00:58:20Z
2019-01-02T12:00:00,28969.22,1,2026-09-23T00:58:20Z
2019-01-02T13:00:00,28386.99,1,2026-09-23T00:58:20Z
2019-01-02T14:00:00,27938.07,1,2026-09-23T00:58:20Z
2019-01-02T15:00:00,28038.57,1,2026-09-23T00:58:20Z
2019-01-02T16:00:00,29522.33,1,2026-09-23T00:58:20Z
2019-01-02T17:00:00,31895.42,1,2026-09-23T00:58:20Z
2019-01-02T18:00:00,32688.48,1,2026-09-23T00:58:20Z
2019-01-02T19:00:00,32470.28,1,2026-09-23T00:58:20Z
2019-01-02T20:00:00,32051.86,1,2026-09-23T00:58:20Z
2019-01-02T21:00:00,31603.92,1,2026-09-23T00:58:20Z
2019-01-02T22:00:00,30950.58,1,2026-09-23T00:58:20Z
2019-01-02T23:00:00,29785.97,1,2026-09-23T00:58:20Z
2019-01-03T00:00:00,28844.38,1,2026-09-23T00:58:20Z
2019-01-03T01:00:00,28388.1,1,2026-09-23T00:58:20Z
2019-01-03T02:00:00,28173.16,1,2026-09-23T00:58:20Z
2019-01-03T03:00:00,28392.68,1,2026-09-23T00:58:20Z
2019-01-03T04:00:00,28613.17,1,2026-09-23T00:58:20Z
2019-01-03T05:00:00,28935.45,1,2026-09-23T00:58:20Z
2019-01-03T06:00:00,29741.96,1,2026-09-23T00:58:20Z
2019-01-03T07:00:00,30961.67,1,2026-09-23T00:58:20Z
2019-01-03T08:00:00,31737.46,1,2026-09-23T00:58:20Z
2019-01-03T09:00:00,31668.51,1,2026-09-23T00:58:20Z
2019-01-03T10:00:00,31269.99,1,2026-09-23T00:58:20Z
2019-01-03T11:00:00,31027.85,1,2026-09-23T00:58:20Z
2019-01-03T12:00:00,30693.24,1,2026-09-23T00:58:20Z
2019-01-03T13:00:00,30277.66,1,2026-09-23T00:58:20Z
2019-01-03T14:00:00,29994.16,1,2026-09-23T00:58:20Z
2019-01-03T15:00:00,29995.67,1,2026-09-23T00:58:20Z
2019-01-03T16:00:00,30352.85,1,2026-09-23T00:58:20Z
2019-01-03T17:00:00,31544.05,1,2026-09-23T00:58:20Z
2019-01-03T18:00:00,31878.35,1,2026-09-23T00:58:20Z
2019-01-03T19:00:00,31504.22,1,2026-09-23T00:58:20Z
2019-01-03T20:00:00,30954.88,1,2026-09-23T00:58:20Z
2019-01-03T21:00:00,30077.4,1,2026-09-23T00:58:20Z
2019-01-03T22:00:00,28903.97,1,2026-09-23T00:58:20Z
2019-01-03T23:00:00,27767.21,1,2026-09-23T00:58:20Z
2019-01-04T00:00:00,26531.04,1,2026-09-23T00:58:20Z
2019-01-04T01:00:00,25779.78,1,2026-09-23T00:58:20Z
2019-01-04T02:00:00,25532.46,1,2026-09-23T00:58:20Z
2019-01-04T03:00:00,25460.58,1,2026-09-23T00:58:20Z
2019-01-04T04:00:00,25286.71,1,2026-09-23T00:58:20Z
2019-01-04T05:00:00,25398.37,1,2026-09-23T00:58:20Z
2019-01-04T06:00:00,25948.89,1,2026-09-23T00:58:20Z
2019-01-04T07:00:00,26993.75,1,2026-09-23T00:58:20Z
2019-01-04T08:00:00,27450.24,1,2026-09-23T00:58:20Z
2019-01-04T09:00:00,27541.36,1,2026-09-23T00:58:20Z
2019-01-04T10:00:00,27656.98,1,2026-09-23T00:58:20Z
2019-01-04T11:00:00,27499.59,1,2026-09-23T00:58:20Z
2019-01-04T12:00:00,27452.18,1,2026-09-23T00:58:20Z
2019-01-04T13:00:00,27010.68,1,2026-09-23T00:58:20Z
2019-01-04T14:00:00,26631.41,1,2026-09-23T00:58:20Z
2019-01-04T15:00:00,26535.64,1,2026-09-23T00:58:20Z
2019-01-04T16:00:00,26416.03,1,2026-09-23T00:58:20Z
2019-01-04T17:00:00,27141.91,1,2026-09-23T00:58:20Z
2019-01-04T18:00:00,27369.13,1,2026-09-23T00:58:20Z
2019-01-04T19:00:00,26707.37,1,2026-09-23T00:58:20Z
2019-01-04T20:00:00,26199.01,1,2026-09-23T00:58:20Z
2019-01-04T21:00:00,25295.18,1,2026-09-23T00:58:20Z
2019-01-04T22:00:00,24571.82,1,2026-09-23T00:58:20Z
2019-01-04T23:00:00,23436.87,1,2026-09-23T00:58:20Z
2019-01-05T00:00:00,22592.96,1,2026-09-23T00:58:20Z
2019-01-05T01:00:00,21949.25,1,2026-09-23T00:58:20Z
2019-01-05T02:00:00,21656.77,1,2026-09-23T00:58:20Z
2019-01-05T03:00:00,21614.98,1,2026-09-23T00:58:20Z
2019-01-05T04:00:00,21607.64,1,2026-09-23T00:58:20Z
2019-01-05T05:00:00,21820.79,1,2026-09-23T00:58:20Z
2019-01-05T06:00:00,22238.27,1,2026-09-23T00:58:20Z
2019-01-05T07:00:00,22963.52,1,2026-09-23T00:58:20Z
2019-01-05T08:00:00,23695.83,1,2026-09-23T00:58:20Z
2019-01-05T09:00:00,24224.95,1,2026-09-23T00:58:20Z
2019-01-05T10:00:00,24349.08,1,2026-09-23T00:58:20Z
2019-01-05T11:00:00,24474.41,1,2026-09-23T00:58:20Z
2019-01-05T12:00:00,24404.52,1,2026-09-23T00:58:20Z
2019-01-05T13:00:00,24121.98,1,2026-09-23T00:58:20Z
2019-01-05T14:00:00,23721.49,1,2026-09-23T00:58:20Z
2019-01-05T15:00:00,23529.91,1,2026-09-23T00:58:20Z
2019-01-05T16:00:00,23838.07,1,2026-09-23T00:58:20Z
2019-01-05T17:00:00,24933.28,1,2026-09-23T00:58:20Z
2019-01-05T18:00:00,25361.76,1,2026-09-23T00:58:20Z
2019-01-05T19:00:00,24891.81,1,2026-09-23T00:58:20Z
2019-01-05T20:00:00,24364.48,1,2026-09-23T00:58:20Z
2019-01-05T21:00:00,23898.25,1,2026-09-23T00:58:20Z
2019-01-05T22:00:00,23220.64,1,2026-09-23T00:58:20Z
2019-01-05T23:00:00,22503.15,1,2026-09-23T00:58:20Z
2019-01-06T00:00:00,21888.74,1,2026-09-23T00:58:20Z
2019-01-06T01:00:00,21498.25,1,2026-09-23T00:58:20Z
2019-01-06T02:00:00,21274.81,1,2026-09-23T00:58:20Z
2019-01-06T03:00:00,21192.1,1,2026-09-23T00:58:20Z
2019-01-06T04:00:00,21326.71,1,2026-09-23T00:58:20Z
2019-01-06T05:00:00,21517.83,1,2026-09-23T00:58:20Z
2019-01-06T06:00:00,21983.11,1,2026-09-23T00:58:20Z
2019-01-06T07:00:00,22701.09,1,2026-09-23T00:58:20Z
2019-01-06T08:00:00,23341.45,1,2026-09-23T00:58:20Z
2019-01-06T09:00:00,24028.17,1,2026-09-23T00:58:20Z
2019-01-06T10:00:00,24738.01,1,2026-09-23T00:58:20Z
2019-01-06T11:00:00,24981.69,1,2026-09-23T00:58:20Z
2019-01-06T12:00:00,25051.79,1,2026-09-23T00:58:20Z
2019-01-06T13:00:00,25427.21,1,2026-09-23T00:58:20Z
2019-01-06T14:00:00,25317.81,1,2026-09-23T00:58:20Z
2019-01-06T15:00:00,25248.7,1,2026-09-23T00:58:20Z
2019-01-06T16:00:00,25985.82,1,2026-09-23T00:58:20Z
2019-01-06T17:00:00,28066.09,1,2026-09-23T00:58:20Z
2019-01-06T18:00:00,29253.23,1,2026-09-23T00:58:20Z
2019-01-06T19:00:00,29104.8,1,2026-09-23T00:58:20Z
2019-01-06T20:00:00,29019.71,1,2026-09-23T00:58:20Z
2019-01-06T21:00:00,28676.07,1,2026-09-23T00:58:20Z
2019-01-06T22:00:00,28166.54,1,2026-09-23T00:58:20Z
2019-01-06T23:00:00,27381.07,1,2026-09-23T00:58:20Z
2019-01-07T00:00:00,26836.02,1,2026-09-23T00:58:20Z
2019-01-07T01:00:00,26658.05,1,2026-09-23T00:58:20Z
2019-01-07T02:00:00,26848.81,1,2026-09-23T00:58:20Z
2019-01-07T03:00:00,27314.97,1,2026-09-23T00:58:20Z
2019-01-07T04:00:00,27836.78,1,2026-09-23T00:58:20Z
2019-01-07T05:00:00,28491.3,1,2026-09-23T00:58:20Z
2019-01-07T06:00:00,29915.51,1,2026-09-23T00:58:20Z
2019-01-07T07:00:00,32098.42,1,2026-09-23T00:58:20Z
2019-01-07T08:00:00,33362.33,1,2026-09-23T00:58:20Z
2019-01-07T09:00:00,32638.72,1,2026-09-23T00:58:20Z
2019-01-07T10:00:00,31355.21,1,2026-09-23T00:58:20Z
2019-01-07T11:00:00,30699.16,1,2026-09-23T00:58:20Z
2019-01-07T12:00:00,30714.74,1,2026-09-23T00:58:20Z
2019-01-07T13:00:00,30039.5,1,2026-09-23T00:58:20Z
2019-01-07T14:00:00,30211.32,1,2026-09-23T00:58:20Z
2019-01-07T15:00:00,30559.39,1,2026-09-23T00:58:20Z
2019-01-07T16:00:00,31365.01,1,2026-09-23T00:58:20Z
2019-01-07T17:00:00,32966.84,1,2026-09-23T00:58:20Z
2019-01-07T18:00:00,33789.89,1,2026-09-23T00:58:20Z
2019-01-07T19:00:00,33510.6,1,2026-09-23T00:58:20Z
2019-01-07T20:00:00,33154.99,1,2026-09-23T00:58:20Z
2019-01-07T21:00:00,32218.54,1,2026-09-23T00:58:20Z
2019-01-07T22:00:00,31160.64,1,2026-09-23T00:58:20Z
2019-01-07T23:00:00,29786.04,1,2026-09-23T00:58:20Z
2019-01-08T00:00:00,28674.67,1,2026-09-23T00:58:20Z
2019-01-08T01:00:00,28190.58,1,2026-09-23T00:58:20Z
2019-01-08T02:00:00,27998.6,1,2026-09-23T00:58:20Z
2019-01-08T03:00:00,27975.88,1,2026-09-23T00:58:20Z
2019-01-08T04:00:00,27811.19,1,2026-09-23T00:58:20Z
2019-01-08T05:00:00,27845.25,1,2026-09-23T00:58:20Z
2019-01-08T06:00:00,28757.65,1,2026-09-23T00:58:20Z
2019-01-08T07:00:00,30643.62,1,2026-09-23T00:58:20Z
2019-01-08T08:00:00,31426.38,1,2026-09-23T00:58:20Z
2019-01-08T09:00:00,30865.3,1,2026-09-23T00:58:20Z
2019-01-08T10:00:00,30408.14,1,2026-09-23T00:58:20Z
2019-01-08T11:00:00,29707.04,1,2026-09-23T00:58:20Z
2019-01-08T12:00:00,29318.22,1,2026-09-23T00:58:20Z
2019-01-08T13:00:00,28743.78,1,2026-09-23T00:58:20Z
2019-01-08T14:00:00,28343.24,1,2026-09-23T00:58:20Z
2019-01-08T15:00:00,27869.13,1,2026-09-23T00:58:20Z
2019-01-08T16:00:00,27983.4,1,2026-09-23T00:58:20Z
2019-01-08T17:00:00,28903.49,1,2026-09-23T00:58:20Z
2019-01-08T18:00:00,29543.99,1,2026-09-23T00:58:20Z
2019-01-08T19:00:00,29089.87,1,2026-09-23T00:58:20Z
2019-01-08T20:00:00,28657.95,1,2026-09-23T00:58:20Z
2019-01-08T21:00:00,27658.6,1,2026-09-23T00:58:20Z
2019-01-08T22:00:00,26658.59,1,2026-09-23T00:58:20Z
2019-01-08T23:00:00,25376.21,1,2026-09-23T00:58:20Z
2019-01-09T00:00:00,24265.56,1,2026-09-23T00:58:20Z
2019-01-09T01:00:00,23808.56,1,2026-09-23T00:58:20Z
2019-01-09T02:00:00,23708.02,1,2026-09-23T00:58:20Z
2019-01-09T03:00:00,23730.1,1,2026-09-23T00:58:20Z
2019-01-09T04:00:00,23717,1,2026-09-23T00:58:20Z
2019-01-09T05:00:00,24070.63,1,2026-09-23T00:58:20Z
2019-01-09T06:00:00,25096.21,1,2026-09-23T00:58:20Z
2019-01-09T07:00:00,26719.02,1,2026-09-23T00:58:20Z
2019-01-09T08:00:00,27694.07,1,2026-09-23T00:58:20Z
2019-01-09T09:00:00,27375.59,1,2026-09-23T00:58:20Z
2019-01-09T10:00:00,27109.23,1,2026-09-23T00:58:20Z
2019-01-09T11:00:00,26685.09,1,2026-09-23T00:58:20Z
2019-01-09T12:00:00,26322.29,1,2026-09-23T00:58:20Z
2019-01-09T13:00:00,26018.6,1,2026-09-23T00:58:20Z
2019-01-09T14:00:00,25752.24,1,2026-09-23T00:58:20Z
2019-01-09T15:00:00,25774.53,1,2026-09-23T00:58:20Z
2019-01-09T16:00:00,26255.11,1,2026-09-23T00:58:20Z
2019-01-09T17:00:00,27598,1,2026-09-23T00:58:20Z
2019-01-09T18:00:00,28523.4,1,2026-09-23T00:58:20Z
2019-01-09T19:00:00,28168.48,1,2026-09-23T00:58:20Z
2019-01-09T20:00:00,27926.32,1,2026-09-23T00:58:20Z
2019-01-09T21:00:00,27370.12,1,2026-09-23T00:58:20Z
2019-01-09T22:00:00,26435.11,1,2026-09-23T00:58:20Z
2019-01-09T23:00:00,25215.52,1,2026-09-23T00:58:20Z
2019-01-10T00:00:00,24163.73,1,2026-09-23T00:58:20Z
2019-01-10T01:00:00,23662.47,1,2026-09-23T00:58:20Z
2019-01-10T02:00:00,23632.19,1,2026-09-23T00:58:20Z
2019-01-10T03:00:00,23528.31,1,2026-09-23T00:58:20Z
2019-01-10T04:00:00,23690.63,1,2026-09-23T00:58:20Z
2019-01-10T05:00:00,24066.44,1,2026-09-23T00:58:20Z
2019-01-10T06:00:00,25045.54,1,2026-09-23T00:58:20Z
2019-01-10T07:00:00,27109.45,1,2026-09-23T00:58:20Z
2019-01-10T08:00:00,28276.89,1,2026-09-23T00:58:20Z
2019-01-10T09:00:00,28017.82,1,2026-09-23T00:58:20Z
2019-01-10T10:00:00,27547.42,1,2026-09-23T00:58:20Z
2019-01-10T11:00:00,27057.5,1,2026-09-23T00:58:20Z
2019-01-10T12:00:00,26932.29,1,2026-09-23T00:58:20Z
2019-01-10T13:00:00,26855.22,1,2026-09-23T00:58:20Z
2019-01-10T14:00:00,27173.57,1,2026-09-23T00:58:20Z
2019-01-10T15:00:00,27647.17,1,2026-09-23T00:58:20Z
2019-01-10T16:00:00,28562.2,1,2026-09-23T00:58:20Z
2019-01-10T17:00:00,30248.59,1,2026-09-23T00:58:20Z
2019-01-10T18:00:00,31397.88,1,2026-09-23T00:58:20Z
2019-01-10T19:00:00,31432.65,1,2026-09-23T00:58:20Z
2019-01-10T20:00:00,31312.33,1,2026-09-23T00:58:20Z
2019-01-10T21:00:00,30880.69,1,2026-09-23T00:58:20Z
2019-01-10T22:00:00,30077.11,1,2026-09-23T00:58:20Z
2019-01-10T23:00:00,29003.47,1,2026-09-23T00:58:20Z
2019-01-11T00:00:00,28029.42,1,2026-09-23T00:58:20Z
2019-01-11T01:00:00,27718.81,1,2026-09-23T00:58:20Z
2019-01-11T02:00:00,27555.99,1,2026-09-23T00:58:20Z
2019-01-11T03:00:00,27719.74,1,2026-09-23T00:58:20Z
2019-01-11T04:00:00,28142.51,1,2026-09-23T00:58:20Z
2019-01-11T05:00:00,28692.94,1,2026-09-23T00:58:20Z
2019-01-11T06:00:00,30194.3,1,2026-09-23T00:58:20Z
2019-01-11T07:00:00,32454.12,1,2026-09-23T00:58:20Z
2019-01-11T08:00:00,33965.66,1,2026-09-23T00:58:20Z
2019-01-11T09:00:00,33900.15,1,2026-09-23T00:58:20Z
2019-01-11T10:00:00,33241.63,1,2026-09-23T00:58:20Z
2019-01-11T11:00:00,32136.84,1,2026-09-23T00:58:20Z
2019-01-11T12:00:00,31187.02,1,2026-09-23T00:58:20Z
2019-01-11T13:00:00,30534.52,1,2026-09-23T00:58:20Z
2019-01-11T14:00:00,30165.07,1,2026-09-23T00:58:20Z
2019-01-11T15:00:00,30357.87,1,2026-09-23T00:58:20Z
2019-01-11T16:00:00,31387.05,1,2026-09-23T00:58:20Z
2019-01-11T17:00:00,33218.69,1,2026-09-23T00:58:20Z
2019-01-11T18:00:00,34573.18,1,2026-09-23T00:58:20Z
2019-01-11T19:00:00,34182.36,1,2026-09-23T00:58:20Z
2019-01-11T20:00:00,33830.49,1,2026-09-23T00:58:20Z
2019-01-11T21:00:00,33354.92,1,2026-09-23T00:58:20Z
2019-01-11T22:00:00,32575.09,1,2026-09-23T00:58:20Z
2019-01-11T23:00:00,31456.71,1,2026-09-23T00:58:20Z
2019-01-12T00:00:00,30752.43,1,2026-09-23T00:58:20Z
2019-01-12T01:00:00,30483.91,1,2026-09-23T00:58:20Z
2019-01-12T02:00:00,30391.12,1,2026-09-23T00:58:20Z
2019-01-12T03:00:00,30404.76,1,2026-09-23T00:58:20Z
2019-01-12T04:00:00,30590.84,1,2026-09-23T00:58:20Z
2019-01-12T05:00:00,31100.61,1,2026-09-23T00:58:20Z
2019-01-12T06:00:00,31830.25,1,2026-09-23T00:58:20Z
2019-01-12T07:00:00,32965.85,1,2026-09-23T00:58:20Z
2019-01-12T08:00:00,33803.97,1,2026-09-23T00:58:20Z
2019-01-12T09:00:00,33739.39,1,2026-09-23T00:58:20Z
2019-01-12T10:00:00,32889.06,1,2026-09-23T00:58:20Z
2019-01-12T11:00:00,32007.8,1,2026-09-23T00:58:20Z
2019-01-12T12:00:00,31162.09,1,2026-09-23T00:58:20Z
2019-01-12T13:00:00,30644.36,1,2026-09-23T00:58:20Z
2019-01-12T14:00:00,29660.51,1,2026-09-23T00:58:20Z
2019-01-12T15:00:00,29755.57,1,2026-09-23T00:58:20Z
2019-01-12T16:00:00,30805.86,1,2026-09-23T00:58:20Z
2019-01-12T17:00:00,32818.43,1,2026-09-23T00:58:20Z
2019-01-12T18:00:00,33861.65,1,2026-09-23T00:58:20Z
2019-01-12T19:00:00,33542.39,1,2026-09-23T00:58:20Z
2019-01-12T20:00:00,32986.21,1,2026-09-23T00:58:20Z
2019-01-12T21:00:00,32565.32,1,2026-09-23T00:58:20Z
2019-01-12T22:00:00,31948.73,1,2026-09-23T00:58:20Z
2019-01-12T23:00:00,31181.27,1,2026-09-23T00:58:20Z
2019-01-13T00:00:00,30602.67,1,2026-09-23T00:58:20Z
2019-01-13T01:00:00,30172.75,1,2026-09-23T00:58:20Z
2019-01-13T02:00:00,30194.18,1,2026-09-23T00:58:20Z
2019-01-13T03:00:00,30204.66,1,2026-09-23T00:58:20Z
2019-01-13T04:00:00,30346.07,1,2026-09-23T00:58:20Z
2019-01-13T05:00:00,30572.35,1,2026-09-23T00:58:20Z
2019-01-13T06:00:00,30957.17,1,2026-09-23T00:58:20Z
2019-01-13T07:00:00,31689.65,1,2026-09-23T00:58:20Z
2019-01-13T08:00:00,32411.4,1,2026-09-23T00:58:20Z
2019-01-13T09:00:00,32622.99,1,2026-09-23T00:58:20Z
